"barcode","DE1-R1-T0","DE1-R1-T1","DE1-R1-T2","DE1-R1-T3","DE1-R1-T4","DE2-R1-T0","DE2-R1-T1","DE2-R1-T2","DE2-R1-T4","DE2-R1-T3"
53,9972,477,7504,7718,8799,7824,2298,4005,4824,7718
151,116447,13184,401155,1040936,2096556,79640,53626,205042,1137298,1040936
262,7030,313,5097,5454,5602,5843,1741,1909,3282,5454
273,50496,5115,112068,221756,367888,32830,17970,69483,205915,221756
323,27800,1969,57761,106323,143792,20021,9194,23575,91332,106323
415,46912,4889,145394,416413,652863,28243,15652,78112,388775,416413
622,7060,286,5415,5588,6116,5308,1452,2532,3643,5588
689,11915,1378,37282,111130,203359,7158,4413,22288,113367,111130
697,8944,376,6296,6916,7327,6641,1461,3474,4514,6916
1379,116414,14416,355759,972618,1586505,68632,48530,210797,844354,972618
1488,36755,4086,101090,275815,457326,20395,13723,61030,253788,275815
1564,7179,299,5264,5419,5788,5681,1243,2285,3406,5419
1617,37907,4030,69676,124223,182160,25827,18314,40047,100051,124223
1641,3660,165,2034,1685,1138,3266,749,642,764,1685
1683,6605,360,3160,2315,1692,5492,1435,1553,1003,2315
1866,20608,1739,38042,68778,95952,13423,6229,21031,49745,68778
2037,16276,911,11548,11838,13716,11688,4217,6652,7790,11838
2039,5450,255,4497,4458,4699,4798,1240,2089,3314,4458
2288,19936,1634,40954,74257,109511,14097,8720,17900,61873,74257
2468,15114,902,29742,62837,80648,11879,3666,12445,51221,62837
2608,13649,895,18943,24230,25840,12012,5728,7849,16335,24230
2768,36479,3049,60004,103574,156262,24203,11491,35023,87504,103574
2776,5342,178,4937,4729,5015,4639,907,1912,3300,4729
2808,10932,586,13233,13917,17090,9835,3778,6346,11307,13917
3250,9711,439,7201,7604,8384,6819,1817,3749,4770,7604
3379,20482,1048,15013,16209,16953,16039,5123,6829,10126,16209
3406,459,8,710,909,1162,280,35,103,716,909
3481,5648,374,6146,11301,11751,3400,1198,3041,7032,11301
3577,6772,289,3802,3464,3341,4902,1125,1805,1951,3464
3585,10651,521,7481,7619,8257,8027,2383,4063,4820,7619
3675,43743,4267,124638,226484,331784,34184,21052,68342,219279,226484
3730,16478,1710,71429,199966,212447,14855,9224,26342,177556,199966
3920,3504,84,3205,3193,3257,3116,543,1042,2138,3193
4418,7601,357,5983,6159,6816,5605,1550,2900,3767,6159
4691,7775,327,5629,5588,6000,5936,1378,3071,3438,5588
4791,10482,681,14162,15589,23609,8858,3718,7435,13970,15589
4949,38206,3209,127387,239744,212744,35518,12883,58866,233299,239744
5564,17787,1399,37535,62117,103744,11581,6600,18470,61669,62117
5654,11297,530,8478,8366,8804,7986,2385,4177,5275,8366
5804,12553,889,27123,56096,64769,8474,5311,7751,36445,56096
6174,19812,1788,44405,96628,142948,14670,8018,21484,91927,96628
6271,26192,2244,47882,90896,121475,16584,8847,25411,65781,90896
6391,4354,205,5634,7480,7868,3803,1172,1955,4871,7480
6582,12389,756,29019,46164,42183,11579,3817,10364,37130,46164
6814,6525,306,5214,4922,5440,5181,1585,2354,3233,4922
7269,26217,2035,46324,78415,74512,17460,7140,21266,54504,78415
7291,7183,317,3152,2303,1547,5495,1054,1790,984,2303
7375,7699,416,5559,5911,6056,6058,1709,2366,3766,5911
7423,10295,514,7763,8226,8802,7428,2598,3927,5134,8226
7538,2522,76,1381,1149,775,2285,405,450,491,1149
7539,7869,319,5066,4882,4978,6006,1371,2564,2956,4882
7774,49252,4840,90598,157556,239441,33946,19366,54648,136412,157556
7799,20601,1320,43749,79892,106852,15351,5734,15440,64232,79892
7836,35522,3961,104581,305223,486101,22910,13927,53098,287917,305223
7953,56922,6023,95573,163801,258440,36751,22462,64634,138557,163801
7961,40875,3695,108413,281929,467803,29947,12789,57397,271104,281929
7994,33502,2761,66241,113592,165484,25076,13935,34144,87480,113592
8297,11295,805,18274,32037,37238,7397,3203,8233,23154,32037
8459,13476,732,10430,10481,11917,11160,3805,5271,7002,10481
8825,3043,128,1543,1139,659,2463,512,598,461,1139
9293,7475,329,6017,6422,6702,5712,1616,2628,4071,6422
9518,4008,159,3863,3945,4041,3566,912,1158,2649,3945
9589,17258,594,10736,9563,7829,15975,2887,5093,5557,9563
9689,13295,704,15153,19363,27857,9636,3021,7680,16915,19363
9864,32674,2953,120483,302041,465401,23306,15295,57299,292146,302041
9888,47107,3331,104097,171891,239348,36483,16436,51465,157315,171891
10050,6140,272,4328,4699,5021,4164,1118,2296,2891,4699
10103,21973,1529,44444,69673,112685,15301,7857,22294,66716,69673
10307,6973,349,3039,2386,1712,6105,1338,1587,931,2386
10316,9026,455,6547,6815,7245,6395,1814,3314,4377,6815
10623,5423,131,1285,1028,613,4818,569,576,389,1028
10794,7898,780,25553,72386,104594,5305,3692,10291,61384,72386
10851,18146,1438,37735,69359,89309,11933,6601,14241,54666,69359
11430,11148,917,28264,61673,77938,7473,3861,14454,48679,61673
11456,9292,478,6106,6355,7026,6122,2234,3699,3810,6355
11586,3485,123,3178,3771,3421,2818,764,596,2398,3771
11667,9553,575,6985,7241,8045,6385,2191,4328,4639,7241
11752,24647,2622,69709,196320,304575,16350,8773,32656,178378,196320
11933,34440,2803,72547,130374,186183,27157,10922,31327,115311,130374
12090,7032,262,5017,5617,5383,5214,1181,1805,3231,5617
12752,6583,308,4895,5181,5258,4942,1616,1965,3229,5181
13029,9043,462,6751,7001,7877,6762,2081,3093,4566,7001
13132,33296,3870,88526,234734,391180,21011,15270,52485,215741,234734
13183,6157,274,2872,2111,1645,4902,1058,1470,952,2111
13852,5405,205,4082,4244,4038,3986,889,1490,2647,4244
13872,11810,529,8608,9121,9468,8717,2609,3799,5817,9121
14160,6860,290,5897,6615,7781,5685,1602,2651,4614,6615
14280,26570,2339,56003,96762,148571,21474,12419,24862,82209,96762
14485,23024,1270,27030,33032,41333,19082,7511,12053,25519,33032
14849,10111,424,7788,8051,7556,7970,1906,2852,5175,8051
14915,9242,492,7263,7712,7904,6280,1893,3562,4961,7712
15221,10359,651,51334,111861,73268,9755,1551,12736,113738,111861
15232,26298,2541,76010,210747,359506,18272,10488,36037,201985,210747
15337,3920,231,5654,6346,9504,3595,1872,2408,5793,6346
15787,36126,3110,49980,77887,97093,25285,11511,28002,54180,77887
16720,7162,305,5627,5552,5785,5782,1407,2434,3513,5552
17499,2814,103,1599,1348,858,2174,548,493,559,1348
17615,7652,310,3312,2702,1762,6229,1062,1445,1054,2702
17691,40832,4087,75102,127094,195362,27084,15925,48038,107867,127094
17927,10173,817,12172,24708,30282,6082,2555,7740,16913,24708
18152,21875,2124,66445,193944,327037,13577,7772,31355,188465,193944
18200,40296,3367,88582,146820,151930,34042,15639,47500,115567,146820
18352,5037,201,4263,4067,3608,4451,1045,1906,2643,4067
18420,49397,3925,207460,476691,520966,38687,17259,92088,475623,476691
18501,7844,345,6448,6600,7151,5708,1392,3107,4244,6600
18860,9506,404,6699,6723,7098,7009,1779,3322,4147,6723
18950,9909,527,7115,7576,7507,7120,2704,3362,4762,7576
19184,34655,3243,62313,114716,165049,21227,11813,39952,86311,114716
19219,10224,439,7858,7838,9690,7306,2224,4155,5238,7838
19296,18315,1507,32372,62844,77089,12443,5869,19641,42707,62844
19297,15420,1018,20356,22681,33979,12820,5941,10558,20330,22681
19379,9166,399,7644,7484,7590,8488,3026,3991,4580,7484
19407,29570,2370,57256,97906,144710,20363,10755,29488,86473,97906
19697,18845,992,12501,13205,15163,14806,4537,7670,8643,13205
19707,10252,557,12127,17097,24078,7707,2431,5740,14316,17097
19795,5424,248,4300,4828,4910,3913,1162,1835,2899,4828
19894,4898,209,2531,1999,1479,4139,744,1171,942,1999
20083,5627,254,4442,4340,4466,4345,1238,1781,2704,4340
20464,10816,625,7457,8105,8528,7780,2424,4283,4992,8105
20632,6108,288,2782,2051,1579,5071,1020,1253,925,2051
20873,26454,2312,87910,186581,283042,19610,11892,42170,184432,186581
20967,29506,2509,56614,106389,145360,20452,10071,28097,81602,106389
21440,4823,159,4105,3962,4068,4530,864,1817,2739,3962
21543,14934,1014,15829,18113,19121,11672,4426,8513,11539,18113
21625,10256,488,8045,7526,7882,7399,2730,4689,5087,7526
21956,18713,1480,40588,79775,115640,13334,5667,17890,64669,79775
21967,15900,1625,50318,146520,215974,10655,6604,17226,135437,146520
22011,46103,3613,80803,136477,213951,32391,16943,41695,124021,136477
22162,6457,425,9513,13087,13088,5689,2179,2574,8295,13087
22360,12488,647,8949,9013,9681,9410,2625,4656,5695,9013
22372,5986,279,5321,5134,5381,5017,1369,2233,3411,5134
22469,6626,336,4957,5110,5576,5559,1634,2233,3055,5110
22669,4056,180,2206,1908,1865,3330,954,998,1151,1908
23688,9585,738,22375,42517,54433,7191,4040,4081,37924,42517
23868,32392,3556,74916,200827,296161,21827,10442,42417,187253,200827
24151,4279,247,1903,1638,1105,3489,1102,893,663,1638
24362,6246,238,2670,2199,1516,4852,1166,1238,900,2199
24737,15775,1277,23723,32626,41431,11129,4803,12738,25330,32626
24858,18138,1001,13656,14893,15733,12945,3574,7892,10012,14893
25531,12727,1094,37718,124900,158451,6762,6498,13074,97871,124900
25747,33507,3104,59380,104255,132480,22116,12145,32523,80092,104255
25780,36815,3944,119766,305260,481434,26065,13603,49817,285473,305260
26106,9542,438,7415,7355,7994,7713,1885,3797,4687,7355
26612,8818,462,3579,2531,2178,6892,1999,2568,1168,2531
27346,15264,805,9690,9383,11685,11490,4065,6674,6017,9383
27473,5466,282,4570,5406,4914,4184,1077,2443,3003,5406
28533,7787,375,5860,6298,6464,5962,1586,2510,4080,6298
28740,60550,7538,162878,450466,736604,37803,25421,99243,419983,450466
28888,16566,867,10123,9954,11588,13480,3412,5938,6343,9954
29375,5277,211,2450,1950,1409,4341,1014,1155,802,1950
29473,37679,4665,104343,288134,498563,23667,16602,69673,262356,288134
29840,7512,366,5514,5632,5901,5601,1549,2746,3587,5632
30578,7367,651,27817,77954,115655,5663,3281,8483,72912,77954
30769,4941,237,4805,4389,3783,4652,1178,2084,3062,4389
30795,9541,417,7644,7583,8454,7252,2328,3863,4930,7583
31360,23911,2573,72138,202742,301606,14920,9666,34227,176831,202742
31607,9879,502,7159,7682,7995,7207,1876,3478,4642,7682
32075,2967,113,1744,1453,1335,2250,440,817,810,1453
32201,8542,410,6803,6332,7062,6923,1966,3170,4257,6332
32262,14043,1031,20022,28637,31426,10942,5167,7918,19942,28637
32675,13656,744,9344,9480,10582,9652,3274,5615,6048,9480
32685,4985,214,4046,4041,3982,4047,1008,1892,2689,4041
33617,23482,2026,51325,88154,128907,19111,11981,24533,79403,88154
33976,6837,324,5602,5783,5617,4664,1370,2360,3562,5783
34189,6862,350,2913,2493,2005,5280,1324,1830,1196,2493
34808,9989,511,6812,6738,7057,7051,1916,3682,4257,6738
35898,8419,408,7387,7161,7890,6569,1851,3543,4835,7161
37238,7891,391,5369,5759,5699,5842,1666,2912,3435,5759
37241,8464,381,6656,6881,5656,6571,1409,3090,4540,6881
38775,8733,318,7573,6496,5234,7684,1909,3332,4746,6496
39066,6166,309,2194,1749,1347,4673,1334,1289,769,1749
39270,5245,225,4010,4294,4454,3866,1088,1817,2601,4294
39633,7343,361,3263,2385,1905,5991,1140,2056,1158,2385
39674,22392,1766,27438,33393,43796,18527,7784,14867,22804,33393
40409,27721,2482,113555,283067,273765,21528,10953,51140,275158,283067
40779,18340,880,13459,13607,14795,12964,4114,7329,8612,13607
40865,8533,563,10598,12488,18898,6465,2639,5565,11019,12488
41484,6340,265,4828,5263,4934,4722,1118,1933,3346,5263
41601,4780,188,2580,1719,1307,4681,863,1230,852,1719
42040,5012,232,1949,1608,1180,3964,858,1074,660,1608
42331,7841,588,9660,22835,33594,4909,2203,5153,18372,22835
42575,7378,287,5387,5684,5676,5911,1446,1696,3655,5684
43155,17958,947,14046,16046,17277,13046,4408,8239,10135,16046
43361,14409,858,31047,55110,74540,10391,4516,13056,45051,55110
43483,19054,1649,62980,154575,204145,13362,6766,34880,155864,154575
43692,15373,1084,26974,42753,53575,11694,4678,14045,32896,42753
44777,13124,713,8158,8861,10298,9317,2818,5072,5610,8861
44905,9813,482,7490,7831,8482,7266,1948,3732,5143,7831
44966,4806,183,4333,4302,4365,4512,1078,1657,2700,4302
44971,8863,429,7958,7451,6741,7562,2465,3964,5009,7451
45031,6199,296,3890,3325,2957,5413,1222,1801,1667,3325
45512,6322,259,2706,2019,1528,5394,1214,1228,858,2019
45865,11777,719,10380,17398,24440,7085,2322,5606,13599,17398
46200,14254,715,9675,10153,10633,10048,3039,5835,6389,10153
46313,7583,300,5765,6061,6914,6413,1759,2673,3928,6061
46938,17035,922,11248,11702,14139,12762,4129,7140,7419,11702
47877,6321,275,5704,5941,5785,4882,1717,2318,3552,5941
48822,14969,800,14761,17762,21764,11077,3045,8225,13097,17762
48904,4753,214,3800,3731,3715,3322,962,1617,2374,3731
49174,4468,220,1868,1542,1019,3657,757,1018,661,1542
50232,13098,700,8875,9405,10414,9484,2680,5311,5848,9405
50286,10612,567,7993,8488,9398,8663,2083,3690,5671,8488
50878,10423,521,7674,7848,8555,6945,2152,3872,5083,7848
50880,10312,495,7444,8061,8082,7144,1955,3647,5176,8061
51200,8451,410,6054,6302,6756,6032,1457,3023,4183,6302
51455,6099,253,4534,4599,4436,4962,1320,2014,2919,4599
52221,5157,204,4563,4572,4295,4441,1230,1989,2901,4572
52560,8871,434,6437,6539,7184,6396,1632,3156,4377,6539
53054,2286,96,733,434,251,1793,314,370,164,434
53230,10027,474,7778,7832,8359,7193,2248,3734,5163,7832
54461,4377,138,2012,1487,1176,3598,765,1060,727,1487
55340,19424,1107,13434,13851,14522,13309,4545,8259,8499,13851
55577,6645,266,5129,6194,5971,4405,1797,2306,3105,6194
55847,9166,451,6179,6307,6949,6682,1689,3459,3953,6307
57117,25406,2655,70224,197223,315865,17662,11840,33791,185836,197223
57408,8447,467,6821,6717,6656,6879,1755,3149,4308,6717
58107,6789,306,3057,2307,1775,5711,1338,1456,1118,2307
58189,13138,592,10205,10938,11934,9997,2303,5072,6948,10938
58400,8670,467,6499,6707,7098,6748,2357,3110,4299,6707
59345,11347,534,8103,8161,9207,8023,2206,4515,5127,8161
59822,8180,375,5606,5893,6603,5972,1670,3085,3713,5893
59999,15686,977,13078,14837,17409,10544,4210,7470,10324,14837
60333,5472,270,2567,1988,1406,4462,1149,1229,941,1988
60549,7326,354,3320,2601,1765,5677,1387,1697,1110,2601
60700,36014,2577,42969,73684,74456,24369,9310,20235,39094,73684
60959,19095,938,13195,13939,14128,12914,4376,7002,8392,13939
60973,5878,222,5066,4775,4450,5552,1183,2207,3355,4775
